ResponseID	start	end	entrez	blast	nucleotide	variation	genome.browsers	protein.3D	transcriptome	pipelines	alignment	phylo	scripting	pub.access	training.workshops	training.lecture	training.individual	training.group	training.online	training.webinar	training.na	freq.physical	freq.personnel	freq.online	position	college	department	ua.time	dna	rna	proteins	microarray	ngs	qpcr	nih	nsf	pmc	gds
R_1LnRVw7v3DG5O6q	2015-11-17 09:37:59	2015-11-17 09:40:11	3	4	5	4	4	3	3	3	3	3	3	4	1	1	0	0	0	0	0	3	2	4	1	Medicine	Biorepository	27	1	1	0	1	1	1	1	0	1	1
R_1Nrglb29LzwHFBJ	2015-12-01 09:38:24	2015-12-01 09:39:56	2	2	2	5	2	2	2	2	2	2	2	2	1	0	1	0	0	0	0	4	4	5	1		Otolaryngology	1	1	1	1	1	1	1	1	0	1	1
R_1oCi3oBFLolGfAY	2015-12-01 09:43:06	2015-12-01 09:47:29	5	5	5	5	4	4	3	3	3	2	2	4	0	0	1	0	0	0	0	3	2	4	3	Pharmacy	Pharmacology and Toxicology	20	1	0	0	0	0	0	1	0	3	3
R_1P7z6mmqAbAnZ7u	2015-12-15 10:38:23	2015-12-15 10:45:49	4	3	3	3	3	3	4	4	3	3	3	3	1	1	1	0	1	1	0	1	1	5	3	Medicine	CMM	10	0	1	1	0	1	1	1	0	1	1
R_1pKHtbL1mVFt0lc	2015-12-01 10:02:09	2015-12-01 10:06:07	2	4	2	3	2	1	1	4	2	2	5	4	1	1	0	1	1	1	0	3	2	5	4	Pharmacy	Pharmacology and Toxicology	2	0	0	1	0	0	0	1	0	1	1
R_1QLx16zs5ebM7Zg	2015-11-30 13:01:38	2015-11-30 13:06:43	4	5	4	5	3	5	3	3	4	2	4	3	1	0	1	0	1	1	0	4	2	4	3	Medicine	CMM	2	1	0	1	0	0	0	1	0	1	3
R_24C1pEeHgN49My4	2015-12-14 12:27:21	2015-12-14 12:30:19	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	0	0	0	2	2	5	1	Medicine	Pathology	20	1	1	1	1	1	1	1	0	1	1
R_294AIgjmvYpCumK	2015-11-17 10:48:03	2015-11-17 10:50:07	2	2	2	2	4	2	5	4	2	1	1	1	1	1	1	1	1	1	0	2	2	5	4	Medicine	CMM	10	1	1	1	0	1	1	1	0	3	1
R_2BkEJCbsaOW4tC8	2015-12-01 09:40:42	2015-12-01 09:53:56	4	4	4	5	5	5	5	5	5	5	5	4	1	1	0	0	0	0	0	3	2	5	6	Medicine	CMM	4	1	1	1	1	0	1	1	0	1	1
R_2cnpe2Xh9OtfKlB	2015-11-17 10:47:05	2015-11-17 10:50:24	1	5	5	5	5	5	5	3	3	3	4	1	1	0	1	0	0	0	0	2	3	5	3	Medicine	Physiology	7	0	0	1	0	0	0	1	0	3	3
R_2dWsfGwrYAHeajA	2015-12-14 12:51:02	2015-12-14 12:54:35	5	5	5	5	5	5	5	5	5	5	5	5	1	0	1	0	0	0	0	2	2	4	1	Medicine	Immunobiology	21	1	1	1	1	0	0	0	0	3	3
R_2QmMB8AaAjIu2ko	2015-11-17 11:34:39	2015-11-17 11:38:33	2	4	4	2	2	4	2	2	4	4	3	3	1	0	1	1	1	1	0	2	2	5	3	Medicine	BIO5	8	1	1	1	0	0	0	1	0	1	1
R_2SAI2Ipi1UjDAWV	2015-12-14 11:57:11	2015-12-14 12:00:39	4	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	5	4	5														
R_2SIewvkOAQREL7M	2015-12-14 14:39:01	2015-12-14 14:41:23	4	4	4	5	4	4	5	4	3	4	5	3	1	0	0	0	1	0	0	2	1	4	3	Medicine	CMM	3	1	1	1	1	0	0	1	0	2	3
R_2TN3lTgr6ljL92b	2015-11-17 09:37:29	2015-11-17 09:38:23	1	1	1	1	1	2	1	1	1	1	1	3	0	0	0	0	0	0	1	1	1	5														
R_2TuD9n4pZwcOoBX	2015-11-17 09:31:19	2015-11-17 09:34:36	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	0	0	0	1	1	5	3	Medicine	Physiology	4	0	0	1	0	0	0	1	0	1	2
R_2UWvvcQzfnJtuqy	2015-12-14 15:00:51	2015-12-14 15:05:50	4	4	4	4	4	4	2	2	3	1	3	3	1	1	0	1	1	0	0	3	1	5	1	Science	CBC		0	0	1	0	0	0	1	0	1	1
R_2V2Ugvu3jWUYkkk	2015-12-14 11:56:52	2015-12-14 11:59:48	3	5	3	5	3	2	4	4	4	2	5	3	1	0	0	0	0	0	0	3	1	5	6	Medicine	Surgery	10	1	1	1	1	1	1	1	0	1	1
R_2VBZlSWVbYI2RhL	2015-12-15 10:43:07	2015-12-15 10:45:32	1	1	1	2	2	2	2	2	1	1	1	1	0	1	1	0	0	0	0	5	4	5	4	Medicine	CMM		0	0	0	0	0	0	0	0	2	2
R_2WMF9pqgU6VTrWi	2015-12-14 12:01:44	2015-12-14 12:15:26	1	4	4	1	1	1	3	5	3	1	4	3	1	1	0	0	1	0	0	3	1	5	2	BIO5 Institute	Neurology and Immunobiology	4	1	1	1	0	1	1	1	0	1	1
R_2YKspMpQRKgUKYu	2015-11-17 11:53:00	2015-11-17 11:55:45	1	1	1	1	1	1	1	1	1	1	1	3	0	0	0	1	0	0	0	3	3	4	1	Public Health	Epidemiology & Biostatistics	15	0	0	0	0	0	0	1	0	1	
R_2yqrFP5kOLJkiC3	2015-12-01 09:39:48	2015-12-01 09:42:21	3	4	3	3	3	4	3	3	3	3	5	4	1	0	0	0	0	0	0	3	1	2	4	Medicine	CBC	0.5	0	0	1	0	0	0	0	0	3	3
R_30iQHvgEdAmIFPd	2015-11-17 09:34:28	2015-11-17 09:38:27	1	1	1	4	4	1	4	4	2	4	4	1	1	0	1	0	1	0	0	2	1	5	1	Science & Medicine	CBC	14	1	1	1	0	0	0	0	1	1	1
R_32Wlmo8WCu02jAU	2015-11-17 09:26:33	2015-11-17 09:28:56	5	1	1	5	5	1	5	5	3	5	5	5	1	1	1	1	1	1	0	1	1	5	1	Medicine	Pharmacology	1.5	0	1	1	0	1	0	0	0	3	3
R_3CC4KwJx5vrq4Ch	2015-11-17 09:35:45	2015-11-17 09:37:48	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	0	2	2	5	4	Pharmacy		1	0	0	0	0	0	0	0	0		
R_3fVjjPPJnGkSjMS	2015-11-17 15:52:12	2015-11-17 15:55:27	3	3	3	1	1	1	5	5	2	1	1	1	0	0	1	0	0	0	0	3	1	4	1	Medicine	Neurology and Immunobiology	3	0	1	1	0	1	1	0	0	1	1
R_3h4oZLBN3983QMd	2015-12-01 09:38:52	2015-12-01 09:41:34	1	1	1	1	1	1	1	1	1	1	1	4	0	0	0	0	1	1	0	5	2	5	1	Public Health	Health Promotion Sciences	22	0	0	1	0	0	0	1	0	2	2
R_3hbBG2Tw1aCE61Y	2015-11-17 09:36:35	2015-11-17 09:40:07	3	3	2	2	2	2	2	2	2	3	2	2	0	0	0	0	0	0	1	2	2	4	1	Medicine	CMM	23	0	0	0	0	0	0	0	0	2	2
R_3iItXvm4YFddDE6	2015-11-17 09:49:30	2015-11-17 09:52:15	1	1	1	2	2	2	5	4	1	4	5	4	1	0	0	1	0	0	0	1	1	2	1	Medicine	Immunobiology	5	1	1	1	0	1	0	1	0	1	1
R_3KAVfRAWYxakvzu	2015-12-01 09:58:01	2015-12-01 10:07:01	5	2	5	2	5	1	5	5	5	1	4	4	1	0	1	1	0	1	0	1	2	4	3	Medicine	Pathology	10	1	1	1	1	1	0	1	0	1	1
R_3LbrNvc6DVaWY1B	2015-11-17 18:27:26	2015-11-17 18:31:14	1	2	2	2	2	1	5	5	5	1	5	1	1	0	1	1	0	0	0	4	1	5	4	Medicine	Physiology	1	1	1	0	1	1	1	1	0	1	1
R_3lGIRLZotEmnuR0	2015-11-17 12:28:00	2015-11-17 12:33:38	3	3	3	5	5	5	5	2	3	2	2	2	1	1	1	1	0	0	0	2	2	5	4	Medicine	CMM	4.5	0	0	1	0	0	1	1	0	3	3
R_3nN7cwpoHdl5xBq	2015-12-01 10:08:57	2015-12-01 10:12:03	4	5	5	1	4	1	1	1	5	1	1	1	1	0	1	1	0	0	0	3	2	5	1	Medicine	CMM	15	1	1	0	0	0	0	1	0	1	1
R_3oFmiMjKKvFiktE	2015-11-17 11:28:45	2015-11-17 11:31:51	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	3	1	5	1	Nursing		3	0	0	0	0	0	0	1	1	1	2
R_3OpgLp3ONltLeth	2015-11-17 09:37:36	2015-11-17 09:40:18	4	4	4	3	5	1	4	2	2	1	3	2	1	0	0	0	1	1	0	5	4	5	4	Pharmacy	Pharmaceutical Science	5.5	1	0	1	1	0	0	0	1	3	3
R_3p3Y6alvCHSFyB0	2015-11-17 10:18:06	2015-11-17 10:24:49	3	2	2	3	3	3	3	3	3	2	2	3	1	0	0	0	1	1	0	2	1	4	1	Medicine	Medicine	9	0	0	1	0	0	0	0	0	3	2
R_3pilg9GUgTk8kpb	2015-11-17 12:01:40	2015-11-17 12:04:40	3	5	4	4	5	4	4	4	4	4	5	4	1	1	1	1	1	1	0	2	1	5	3	Medicine	Immunobiology	1.5	1	1	1	0	1	1	1	0	1	3
R_3q9HxZaCVVIz15Z	2015-11-17 16:31:07	2015-11-17 16:34:47	5	3	3	1	1	1	1	1	1	1	1	3	1	1	0	1	0	0	0	2	2	5	3	Medicine	Physiology	0.5	0	1	1	0	0	0	1	0	3	3
R_6VAlexV63FzuRYl	2015-12-01 13:51:07	2015-12-01 23:12:44	4	5	5	1	3	3	4	4	2	4	2	4	0	0	0	1	0	0	0	2	1	4	1	Medicine	Immunobiology	7.5	1	1	1	1	1	1	1	0	1	1
R_6ziyVSuLWOByRPT	2015-12-14 18:27:33	2015-12-14 18:32:17	5	5	5	5	5	3	4	3	5	4	4	5	1	1	1	1	0	0	0	3	2	4	1	Medicine	Neurology	25	1	1	1	1	1	0	0	0	1	3
R_8BXnymmnhipDgKl	2015-11-17 09:36:16	2015-11-17 09:41:35	5	5	5	5	5	4	4	4	4	4	4	5	1	1	0	1	0	0	0	4	2	5	3	Medicine	Otolaryngology	3.5	0	0	1	0	0	0	1	0	3	3
R_ai7pwzd67pHhfhL	2015-11-17 12:38:07	2015-11-17 12:45:51	1	5	4	3	4	1	1	1	1	1	3	1	1	1	0	1	1	0	0	4	1	5	4	Arizona Biological and Biomedical Program	Arizona Biological and Biomedical Program	0.5	0	0	1	0	0	0	1	0	3	3
R_blrke5rcMSFa96V	2015-12-01 16:10:14	2015-12-01 16:13:35	5	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	0	0	0	2	2	5	1	Medicine	CMM		1	1	1	0	0	0	1	0	1	1
R_cAOqpNTgM9RXBL3	2015-12-14 12:14:14	2015-12-14 12:18:00	4	5	5	5	5	5	5	5	5	5	5	5	1	0	0	0	0	0	0	4	4	5	4	Medicine	CBC	0.5										
R_cIpVJFzAZLKVFSx	2015-12-01 09:54:37	2015-12-01 09:57:08	3	3	3	3	3	3	2	2	3	1	1	4	1	1	0	1	1	0	0	1	1	5	1	Science	MCB	15	1	1	1	0	1	0	0	1	1	1
R_DUaQ6VJoAwCIowN	2015-12-01 09:37:43	2015-12-01 09:41:19	3	3	3	4	4	4	5	5	5	4	3	4	1	0	0	1	0	0	0	2	2	4	4	Medicine	CMM	13	1	1	1	1	0	1	1	0	1	3
R_ezYAzjP8zgcmt0d	2015-12-14 12:15:04	2015-12-14 12:19:08	3	5	5	3	5	5	1	3	3	3	3	3	1	1	0	1	1	1	0	1	1	5	3	Pharmacy	Pharmacology and Toxicology	7	1	1	1	0	0	1	1	0	3	3
R_oY8wd34T9zUJumd	2015-12-14 15:11:46	2015-12-14 15:15:31	5	5	5	5	5	3	5	3	4	3	3	3	1	0	1	1	0	0	0	1	1	2	1	Pharmacy	Pharmacology and Toxicology	9	1	1	1	1	1	0	0	1	1	1
R_PUtjvIz0Vmuw5bP	2015-11-17 11:24:38	2015-11-17 11:26:38	3	3	3	3	3	3	3	3	3	3	3	3	1	1	0	1	0	0	0	4	2	3	4	Public Health		1.5	0	0	0	0	0	0	0	0		
R_R5ni1JnhixKn0SR	2015-12-02 19:24:39	2015-12-02 19:28:03	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1			5	1	Medicine	Physiology	13	0	0	0	0	0	0	1	1	1	2
R_RlD4oGhis4qKVjz	2015-11-30 14:38:57	2015-11-30 14:41:21	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	2	4	1	Public Health	Epidemiology & Biostatistics	16	0	0	0	0	0	0	0	0	2	2
R_s7huexchZzGAktr	2015-11-17 14:21:47	2015-11-17 14:23:46	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	1	0	0	2	2	5	1	Science	CBC	13	1	1	1	1	0	0	1	1	1	3
R_svrLp5s9FtSLCff	2015-11-17 09:30:03	2015-11-17 09:34:58	4	4	4	4	3	2	3	2	3	2	3	3	1	0	1	1	1	0	0	4	2	4	4	Medicine	CMM	5	0	1	1	0	0	1	0	0	3	3
R_sySDIsbGg2x3Vjr	2015-12-14 14:58:00	2015-12-14 15:00:54	1	1	1	1	1	1	1	1	1	1	1	4	0	0	0	0	0	1	0	2	3	5	1	Public Health	Health Promotion	13	0	0	0	0	0	0	1	0	1	2
R_sYxE6aoWGyDOSGJ	2015-12-01 13:28:37	2015-12-01 13:35:41	4	3	4	3	5	3	3	5	4	2	5	2	1	1	0	0	1	0	0	2	2	5	4	Pharmacy	Pharmacology and Toxicology	1.5	1	1	1	1	1	0	1	0	3	3
R_UEBXCPT9aEs9Jtv	2015-12-01 10:19:25	2015-12-01 10:22:36	4	4	4	3	3	3	4	3	4	3	4	4	0	0	1	1	0	0	0	3	2	5	1	Medicine	Pharmacology	1.5	0	1	1	0	0	0	0	0	1	3
R_Urna6YzLUGdPgiZ	2015-12-01 09:48:42	2015-12-01 09:50:50	5	5	5	5	5	5	5	3	3	3	5	1	1	1	1	1	1	1	0	1	1	3														
R_vOztd3g7nbCREpb	2015-12-01 09:45:06	2015-12-01 09:46:09	1	1	1	1	1	1	1	1	1	1	1	1								5	4	5	1				0	0	0	0	0	0	0	0	1	
R_WDPoHErpNUNFwOJ	2015-12-14 13:30:39	2015-12-14 16:43:11	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	2	2	5	1	Medicine	Medicine	0.5	1	1	1	0	0	1	1	0	3	3
R_Xzcru9b0kCtvLz3	2015-12-01 09:42:50	2015-12-01 09:44:40	1	1	1	1	1	1	1	1	1	1	1	3	0	0	0	0	0	0	1	4	2	5	4				0	0	0	0	0	0	0	0	1	3
R_Z4Oh40nvaN7KdSF	2015-12-01 11:24:39	2015-12-01 11:27:59	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	3	4	5	1	Nursing	Community and Health Systems	4	0	0	0	0	0	0	0	0	1	2
R_ZahMxdZNh0IcF2h	2015-12-01 15:24:33	2015-12-01 15:25:59	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	5	3	5	4	Medicine		2	0	0	0	0	0	0	0	0		

